scenario,n,algorithm,comps,assigns,timems
NearlySorted,2000,Insertion,8232,8232,0.102100
NearlySorted,2000,DoubleInsertion,9226,8227,0.104800
NearlySorted,2000,MergeSort2,13630,43904,5.264500
NearlySorted,2000,MergeSort3,15638,28964,4.055400
NearlySorted,2000,HeapBinary,39279,42846,0.970700
NearlySorted,2000,HeapTernary,39038,29898,0.796900
NearlySorted,2000,Insertion,9168,9168,0.116200
NearlySorted,2000,DoubleInsertion,10160,9161,0.116500
NearlySorted,2000,MergeSort2,13128,43904,4.957700
NearlySorted,2000,MergeSort3,15605,28964,4.152500
NearlySorted,2000,HeapBinary,39269,42870,0.872600
NearlySorted,2000,HeapTernary,39030,29866,0.767300
Sorted,2000,Insertion,1999,1999,0.025200
Sorted,2000,DoubleInsertion,2999,2000,0.025500
Sorted,2000,MergeSort2,11088,43904,5.189500
Sorted,2000,MergeSort3,13002,28964,4.021200
Sorted,2000,HeapBinary,39159,42600,0.974200
Sorted,2000,HeapTernary,39047,30020,0.813800
Sorted,2000,Insertion,1999,1999,0.025200
Sorted,2000,DoubleInsertion,2999,2000,0.025500
Sorted,2000,MergeSort2,11088,43904,5.065400
Sorted,2000,MergeSort3,13002,28964,4.049000
Sorted,2000,HeapBinary,39159,42600,0.963900
Sorted,2000,HeapTernary,39047,30020,0.748200
Sorted,2000,Insertion,1999,1999,0.025500
Sorted,2000,DoubleInsertion,2999,2000,0.025500
Sorted,2000,MergeSort2,11088,43904,4.955400
Sorted,2000,MergeSort3,13002,28964,5.198400
Sorted,2000,HeapBinary,39159,42600,1.170400
Sorted,2000,HeapTernary,39047,30020,0.942700
Sorted,2000,Insertion,1999,1999,0.025200
Sorted,2000,DoubleInsertion,2999,2000,0.026500
Sorted,2000,MergeSort2,11088,43904,4.654400
Sorted,2000,MergeSort3,13002,28964,4.234000
Sorted,2000,HeapBinary,39159,42600,1.062000
Sorted,2000,HeapTernary,39047,30020,0.784200
Sorted,2000,Insertion,1999,1999,0.025700
Sorted,2000,DoubleInsertion,2999,2000,0.026500
Sorted,2000,MergeSort2,11088,43904,4.896100
Sorted,2000,MergeSort3,13002,28964,3.659400
Sorted,2000,HeapBinary,39159,42600,0.984200
Sorted,2000,HeapTernary,39047,30020,0.754700
Reversed,2000,Insertion,1999000,2000999,24.748300
Reversed,2000,DoubleInsertion,2000000,2000000,24.648600
Reversed,2000,MergeSort2,10864,43904,5.035000
Reversed,2000,MergeSort3,14624,28964,4.059400
Reversed,2000,HeapBinary,35964,37416,0.888400
Reversed,2000,HeapTernary,35752,25952,0.728100
Reversed,2000,Insertion,1999000,2000999,24.475900
Reversed,2000,DoubleInsertion,2000000,2000000,25.315100
Reversed,2000,MergeSort2,10864,43904,4.911800
Reversed,2000,MergeSort3,14624,28964,4.470000
Reversed,2000,HeapBinary,35964,37416,0.820200
Reversed,2000,HeapTernary,35752,25952,0.739200
Reversed,2000,Insertion,1999000,2000999,24.454400
Reversed,2000,DoubleInsertion,2000000,2000000,24.635300
Reversed,2000,MergeSort2,10864,43904,5.046200
Reversed,2000,MergeSort3,14624,28964,4.090900
Reversed,2000,HeapBinary,35964,37416,0.891900
Reversed,2000,HeapTernary,35752,25952,0.728000
Reversed,2000,Insertion,1999000,2000999,24.607900
Reversed,2000,DoubleInsertion,2000000,2000000,25.760500
Reversed,2000,MergeSort2,10864,43904,4.873200
Reversed,2000,MergeSort3,14624,28964,4.538800
